run,green,yellow,greenGPC,yellowGPC
0,157669357.50691766,154133735.08871874,157187061.46843332,121598364.66948128
1,161581275.52105972,1207.5093339000607,160827235.05066887,1431.2906909188723
2,1159.1078868819263,187533368.54075715,1186.8755759598341,120991118.77045724
3,1207.2600859595311,170442530.47461396,1260.9629035813223,94766133.42316365
4,1131.700806258742,146864194.24602702,1136.9713865986632,99942760.89586078
5,158026290.76244387,1018.0777617911713,74899892.9696036,1123.4873231854556
6,97016221.45195161,150282018.1239084,93862470.7617722,144944586.7973463
7,157972414.48238975,1278.767127056593,154536197.32485834,1114.1465819998807
8,161261369.24340874,174680016.1079142,158181447.34436628,112505886.96083054
9,149530843.99527213,1204.226822151173,151055998.13624817,1201.7394409266883
