run,green,yellow,greenGPC,yellowGPC
0,12135623.89895755,18480443.010677844,12447360.525828905,12824152.942766607
1,13818123.108132154,3681.526050256603,14396511.158921229,3361.1824661839387
2,3130.2671452795707,26030044.042655304,2623.3594030819395,13166357.40228502
3,3555.6952375110404,23093820.643395774,3409.908422664924,11676994.395962898
4,3311.4631547933755,19610290.348095253,3383.6548161328515,11620858.502953207
5,11552707.30300263,3095.565846734113,4689122.503928388,3193.706290205839
6,6182247.977378493,20391192.75822483,6620123.982552748,18809102.558864158
7,12360671.411013827,3682.734898671135,12223272.596424563,3256.821493126501
8,13014046.1791144,22425840.51099133,12732746.156761121,13841118.61663346
9,12310109.62373346,3765.9696574559466,12496546.334368391,3297.6444087800814
