run,green,yellow,greenGPC,yellowGPC
0,114666488.8343437,145894125.51872453,114655683.7002471,158250062.1542982
1,114322331.91517639,5876795.606218549,113865960.56715585,20105689.000592902
2,9977318.526447197,145237909.15095732,8770818.05824633,135060044.44372413
3,7654988.626332643,142373840.40070337,7945183.787265337,115400777.69354348
4,5269276.299420081,126838637.20025085,5830715.719966959,125403505.6239732
5,114818106.01630645,9035413.195165291,121916881.07987809,63916413.073693864
6,293609921.52877337,130197898.47307783,164183086.3154921,154269824.86964163
7,130021668.12654926,20568539.863757294,140134880.5850738,33538461.622909363
8,132521794.28845367,178107846.48068228,123630519.50386783,119922777.23061271
9,128402284.48040469,19836870.799880434,127962169.70963898,47487950.68133406
