run,green,yellow,greenGPC,yellowGPC
0,2.385600902231271,1.8923462910790492,2.9425085554470796,2.3299910597239335
1,2.524019711390435,2.4034555570593588,2.1696000912139484,3.428482551717548
2,2.2375868407107258,2.7342758197136634,2.9046407693013427,2.8220838473224634
3,1.6001600528241784,3.2102941447722255,1.615231404312676,2.789704156156591
4,1.6923460757736333,3.5926703600259042,1.9249241225885938,1.9082687128811302
5,1.6904706390252127,2.598720610295822,1.5970614150885767,3.318863424106632
6,1.651999215262954,1.3742948362157876,1.6142974621393513,2.7765780963056854
7,2.8272254105460677,2.548396969979147,3.8690814897480905,4.584897946036253
8,4.1464478053258915,3.052886366731575,3.8367856583113906,7.824851926785081
9,4.578555488183695,1.6695613647793834,4.54432888275078,3.0070126997732585
