run,green,yellow,greenGPC,yellowGPC
0,0.07065112888650865,0.11493045787107353,0.08894983073177769,0.11590023002993849
1,0.07806263673285702,0.07891593833020594,0.12320115416288889,0.1103579528372061
2,0.08136594909301773,0.1097436648948509,0.07789200296354946,0.10575102055602746
3,0.07485705546134114,0.08721941824133778,0.0869057460957826,0.06626910754813377
4,0.08220551131393287,0.09893349552808499,0.07717641968893643,0.06472889398530715
5,0.09001073335936483,0.09383925518141999,0.09347789581128582,0.09288788196949867
6,0.08705830084006334,0.08516987864942348,0.09218049237319605,0.07314372147761228
7,0.08341833619039844,0.06438157692926359,0.09160287572950158,-3.0
8,-3.0,-3.0,-3.0,-3.0
9,-3.0,-3.0,-3.0,-3.0
