run,green,yellow,greenGPC,yellowGPC
0,21509185.985245284,5414502.109535125,14814875.034403857,31356769.527083594
1,29669124.417153746,30129564.156943757,18690371.14243445,16876513.10014929
2,12305282.259217262,15528168.606565883,6286182.010887033,24746222.821706194
3,14317569.504380072,10361813.236315459,6810396.117378987,49401575.098653
4,7186833.725084494,18661932.799401183,6377617.796105789,37204134.988739155
5,12009410.090603085,16722538.980449483,10251307.23425858,32864575.07252384
6,9776891.50963205,12056859.195708878,6325984.406541962,19342615.28948303
7,11905605.678155722,10935794.715053078,11647948.814943999,-3.0
8,-3.0,-3.0,-3.0,-3.0
9,-3.0,-3.0,-3.0,-3.0
