run,green,yellow,greenGPC,yellowGPC
0,12872727.990740228,12571160.501686245,7365475.64940062,8145142.120147012
1,8924171.459107615,12982053.16482939,4398015.975654301,3169827.621529699
2,8605856.06808141,6968363.202518087,6940648.715838649,8190726.246824868
3,3782770.0692021027,14392343.20072496,3596406.965773332,11079671.431349944
4,14467385.007312208,13401379.672803236,13569758.006623622,16506259.796834178
5,-1.0,1118.8784731112942,-2.0,614289.5261929093
6,3029425.979006009,13564752.062237374,1619203.0733964453,7177577.449044977
7,11978774.888013095,7464139.617187495,16489700.048003139,7015928.355230138
8,14536264.568148863,7811047.637581661,17586263.80033258,6400498.432633005
9,9424007.173736844,10500003.527751729,8739432.487133982,7434440.97037412
