run,green,yellow,greenGPC,yellowGPC
0,1.2618086575575638,1.834720654763312,1.1518525481695685,2.949512042007891
1,1.330073441473242,1.6096585425225063,0.9246330325850354,4.829440574235551
2,1.426912137037354,1.7359157491747568,1.2826594163173162,3.450308997632585
3,1.2708486839815534,1.617210278235273,1.05443531233858,2.022078352578178
4,1.679558921739607,1.5856029231386435,2.030115086112799,1.5653548303333167
5,,2.551976239290552,-2.0,2.1347925513895687
6,1.6529525499904645,1.479671593921026,1.2149373176797944,1.6868741451784088
7,2.13538707067965,1.3397536776376429,2.1375851891652955,1.1492920091825074
8,1.8208958538181612,1.4968230791236252,1.7515275593149846,4.50617003831936
9,1.537295293035115,1.582276628584246,1.4751033191625849,1.8029597837030535
