run,green,yellow,greenGPC,yellowGPC
0,25479590.30998352,30502053.997702017,19476187.292844824,37165397.3368483
1,24604432.06781455,28752694.44739747,12754024.259639142,47411427.25421606
2,27022458.999021396,24257903.818740744,22198536.685995802,40697149.879878424
3,24216737.27707877,30337960.30540921,15111889.886574088,31824908.795560244
4,34532112.66530948,26387417.276708595,45853230.12145861,28050022.58647489
5,,21126242.756644133,-2.0,23336741.153663907
6,25278822.115549378,26625489.70684446,12652228.407638088,26821683.72413063
7,42024524.49359004,22453199.199895673,43034261.82096858,18269935.880138915
8,35392586.33953032,21853231.74427827,34665604.51659096,42275744.89404383
9,28295386.110320687,25914504.9292892,27307288.561625782,29665469.661345027
