run,green,yellow,greenGPC,yellowGPC
0,13625129.56652745,13064160.035328865,22246832.044928882,10708031.135586495
1,12209288.115192134,11796906.194827406,10376849.860320883,16466217.938782742
2,8549131.267164497,12642243.830541687,7399638.240198772,11594080.756162908
3,6141852.21163463,12613526.755595524,5723889.136273635,13174721.142890457
4,5853403.68265799,13128834.121529585,5497209.538789713,13328646.003185822
5,8880070.43968011,15150978.162847832,5464467.521675116,16236804.143862106
6,11900258.057296932,13366317.714002458,8564645.51242668,12796519.285334047
7,14402718.558640808,10469520.521813188,14834310.47216648,9189340.87877878
8,15429035.272289773,8547323.080960324,15080440.169645822,9073451.652215512
9,25227654.90743502,15292723.944724008,10851808.413102407,46021602.6591101
