run,green,yellow,greenGPC,yellowGPC
0,1.7072124540624647,2.626407770370729,1.794969201732163,2.5044583265474136
1,3.152679660329703,2.019238848108022,2.2855429452309775,3.31405686244135
2,3.3846645896368885,2.3350221127295057,2.8836721802137486,2.723655892889487
3,2.601930642606327,2.0851984847556015,4.800963654806546,4.717972265579605
4,2.775881306167203,2.296077804573199,2.4235198724129434,1.8923256836338704
5,2.3739025491562322,2.2935382847424894,2.3086763707080733,2.723418125843329
6,1.7813828124560263,2.469667935915254,1.8842887115902744,2.9417365411265135
7,1.7242889043763967,2.0607230612473066,1.7326154675066934,1.9852765757353732
8,1.1400864228061183,2.172688208388529,1.2426523604558826,3.0099962845008097
9,2.15430498868272,2.257894139952418,1.8576604527010516,2.164058739398546
