run,green,yellow,greenGPC,yellowGPC
0,14930078.078280203,21842401.333403606,13307326.346134977,24601270.89975813
1,24456584.596191395,17047298.895845305,21133978.90698146,26281658.29748404
2,29992025.968372397,22201267.028943975,29741267.04206033,24272166.702178758
3,26254063.265784677,18856119.741488308,39431171.74045445,42668865.399074875
4,22132746.05438153,16553670.812638659,21088656.308817692,16054229.151529867
5,28744148.119102746,25577161.29485226,18663079.272094358,18169674.064719543
6,16836336.90160208,17982432.331638448,14870963.275728539,23074034.044265952
7,12809256.481092414,17360283.65244908,12934654.868776234,17456840.335321363
8,9155415.45818513,19415697.170190874,8975705.970305134,28334452.720064025
9,20345057.705121074,22693463.322707105,16642036.986470034,19649424.122704368
