run,green,yellow,greenGPC,yellowGPC
0,79654.94267862564,87054.45235843446,103962.3498250799,98271.0254956011
1,122225.60811964919,80752.2469304516,108018.1222375329,60691.110820919355
2,117608.46456395571,107996.37234218064,98654.33892107452,90366.99614285724
3,34999.112648710514,115339.44342330501,89970.95824319408,103006.09729568327
4,117236.00544276106,108553.09808000799,99788.83065182378,122633.04085808102
5,109787.1051950393,160379.86924266396,90712.36616073392,119214.34134963708
6,117977.95994420849,107709.91606993253,69496.81887160416,73989.26972149729
7,122504.8468428938,133888.83943076924,76642.33846598087,92519.76026378514
8,137683.915091522,108217.55002533263,118267.43145629809,111750.81046292164
9,102734.33837268851,115479.05889354782,120843.39598071502,79460.44856240317
