run,green,yellow,greenGPC,yellowGPC
0,29412573.46768898,29543862.081783853,25681575.36910602,34090253.426809706
1,29631945.900283173,27660297.631426405,28054290.306322,48612981.565076016
2,32199308.70345929,28544609.03683127,51014357.7344803,38861895.14328082
3,32229188.49285436,26227900.524821617,30648242.61530556,54594243.69663078
4,38821460.088082574,16279260.82509421,41443641.00045936,28880362.02864183
5,19531419.517331365,20309116.997089736,15928729.411813734,41491570.59828346
6,7614137.1025295,31655522.408565935,11587186.37533658,69592059.72745268
7,7049481.546696048,27534786.359701127,43906592.42291511,52239321.98199393
8,23498751.206028413,26994234.82183767,10002282.974851172,46898019.78892804
9,16051402.898319773,16478327.843781807,23899652.360769793,40800449.31367686
