run,green,yellow,greenGPC,yellowGPC
0,75404524.34795094,55889265.84389252,64516763.11958117,59276378.61672058
1,67857887.01182273,54699818.67058797,77682933.23518598,45482176.88919309
2,23782360.0733086,46080133.900813885,73302140.93536043,42580791.68259049
3,33695760.13615401,38724270.15759141,63748023.840637974,36463049.35893293
4,44368563.8867589,37435163.314647764,44910231.837111376,43879208.890229635
5,59978562.90468208,38150689.01981531,56032838.97951088,32061262.43647665
6,66568426.71310002,36464470.843965165,78991303.0143617,40173654.91286043
7,45076098.201761685,18619764.70296968,46605527.02890213,55289034.43014701
8,57972522.51486129,53472067.12564791,77122362.08964548,51889133.920400105
9,61397813.50367101,51346574.31465548,61236806.0455743,48361854.70628852
