run,green,yellow,greenGPC,yellowGPC
0,4785498.6784833865,44355540.18677846,5201041.945688604,8802053.295872798
1,6969833.768068041,5785030.946339791,9144710.446133403,16822614.31054043
2,6695648.4668660015,7576713.397292296,75513528.00766452,20475111.428732876
3,6890208.624262286,7642523.835940088,12113579.116854064,7568335.343585747
4,4109718.69121841,8280738.330838572,3255907.0662306743,40329927.60647556
5,14618204.003231378,37823931.90273594,4005029.6743377377,-3.0
6,-3.0,-3.0,-3.0,-3.0
7,-3.0,-3.0,-3.0,-3.0
8,-3.0,-3.0,-3.0,-3.0
9,-3.0,-3.0,-3.0,-3.0
