run,green,yellow,greenGPC,yellowGPC
0,7965484.78994779,1230.0827477039954,6544718.574364805,1254.1031053332058
1,2257723.9279332655,1199.5617579924683,9351023.647745967,1196.0679508842568
2,2029468.783163736,1201.9105918386424,2948788.5389647605,1260.79928599507
3,5691030.296949146,1248.835553909748,6340019.221444771,1191.7394959320548
4,4677832.014946263,1191.0970507773432,9816509.755369755,1228.819605951151
5,6559468.976992283,1205.297399228513,11365042.150465999,1199.5565053459284
6,1992572.6156602514,1190.331431592187,9348777.153214224,1190.7214736410288
7,1179.3478873360016,8773902.485378537,1176.6663367559588,2486133.757557463
8,1199.5008305678778,7014539.9998517865,1184.4379201003312,3485044.7168963104
9,1178.9660268926168,8181424.297174055,1182.0126385183462,3116626.8550592926
