run,green,yellow,greenGPC,yellowGPC
0,9.456254614951872,3.6684774718928037,9.542551531668714,6.841716261539389
1,7.881757202837439,9.820903870620569,3.785853463160549,7.435936244638563
2,1.5153669323103518,9.08866190836836,2.7337161750461383,3.8040052450110955
3,3.8458999803626517,6.7157971133757375,3.1934704032765437,8.824447123000324
4,1.5607254399114932,6.433554398642117,3.173154776838805,7.54121741207014
5,2.2140598824508593,2.6603937643536764,3.8241875330504715,1.9846413674269097
6,3.285158404262946,2.0408277237860677,1.6775390769717713,1.4743820477159315
7,5.526949917266215,2.306077195544123,7.002781611772948,1.901498949931755
8,2.1284789978269356,1.783304299379433,2.843151465120256,2.5044462069101994
9,2.633503823798417,2.083204265217274,2.8521194585479446,8.227428624339396
