run,green,yellow,greenGPC,yellowGPC
0,23513691.866975233,17726870.461259544,27287016.09459465,20897773.725447774
1,24303066.5587079,21566853.287054863,23183725.190429203,31080208.417560745
2,25071746.547583807,24589753.997549687,28064679.25726387,22372265.972471073
3,17949164.012931053,25455482.683862146,20606080.55296401,22453279.700126797
4,15615451.998923331,30037572.58972046,18454942.276717205,19662309.449189674
5,14885709.43743564,25376128.678486053,13791369.42094311,28724384.1962981
6,14545732.21155456,16613808.98436559,16141339.948059747,22167949.69207857
7,20050317.381677672,20233089.200106755,19436226.86774219,45599002.396323085
8,26379700.30480529,19729727.319065195,20809013.414321546,42349160.6684545
9,31352906.13991065,14336905.50803388,28162208.123288553,25772922.525104534
