run,green,yellow,greenGPC,yellowGPC
0,63.706576242145495,103.24818249442372,93.64765704755973,104.10521075501747
1,89.05465678209995,67.96891200141955,130.37366557220415,94.6104197506753
2,121.88269781370505,92.2453145295199,118.2542404798874,83.3499608316427
3,86.18687595574055,86.93387326412602,90.00544553104315,53.33353923465448
4,73.43492933377408,79.93299794543653,68.35971768752354,78.6456914872914
5,71.55357678659527,94.34230276515397,74.11844909172511,88.38022481219535
6,71.66075221098691,83.54076396741878,79.62234840825009,83.555922274009
7,70.83579070720833,78.38599360724683,88.43511491533384,-3.0
8,-3.0,-3.0,-3.0,-3.0
9,-3.0,-3.0,-3.0,-3.0
