run,green,yellow,greenGPC,yellowGPC
0,28482226.994583946,25462616.79185444,21893370.97773427,19309333.684561383
1,24681063.830429263,29910769.545760274,15787918.45270391,9448565.280720321
2,22930900.218055453,14692585.096640665,21694390.999389596,21215296.19515667
3,12090742.154451927,28988621.382088993,15301859.920359645,22253482.472054876
4,26232522.625710417,28272979.713498432,25502137.21281089,33208992.8770279
5,-1.0,428.92574739949,-2.0,1584037.1207523893
6,8034436.72270285,35329028.970833704,10492828.104143962,18705039.362079773
7,22071440.112877604,22655641.976509146,30492325.83074532,20452585.14659656
8,24520895.709271003,18449168.414584704,32860481.18771669,18003614.88673547
9,21558180.324473526,24544501.52741527,23101091.11473361,18996518.25296948
