run,green,yellow,greenGPC,yellowGPC
0,0.07926462718784918,0.12911359491031457,0.05997924990042563,0.11306294550569543
1,0.06788972228668375,0.11431922575204406,0.11002092308015439,0.0953574512417438
2,0.10277758108924229,0.07198074370569706,0.12105321753108493,0.10774594130074419
3,0.10142397811293083,0.08672460173355477,0.10583457598607779,0.10664516584113978
4,0.09007370550613755,0.08009267230287413,0.07598121745315774,0.10862185120408742
5,0.09542428113010484,0.07957252250112526,0.11701737229304983,0.08126290968199883
6,0.08645845575471986,0.12256563218396778,0.10012863380042039,0.12904373800015945
7,0.09242742608978724,0.07430642516486863,0.1095065306330492,0.09339669360462553
8,0.08431805122507811,0.09611572416150045,0.07213379603904785,0.13441120964430214
9,0.1327284879316093,0.13172959787229438,0.08040114988018421,0.05996164497577575
