run,green,yellow,greenGPC,yellowGPC
0,5909.397972395401,5840.721361756717,7094.920712440916,6773.010304829261
1,8002.230595410075,6403.478544015481,7433.439381914863,4224.965061048844
2,7659.9680097426535,7496.349417962208,6675.625403869397,6055.820579764837
3,2757.5629394109587,7078.60195217613,6432.766126918944,6688.836872922794
4,7995.498679122169,7845.32501163741,7494.147660099018,8046.641301035651
5,8251.872677617594,10566.413391255943,6710.772092003507,8025.322377907382
6,8438.374659970441,7470.530858253985,4975.172018319932,5079.678312154846
7,8351.830345542456,9326.980206713964,5155.108736400106,6554.393145276305
8,283869.69613624364,8139.467702157168,8603.142199610556,6965.617755497065
9,7615.9364841035185,8040.574066997972,8138.32054185178,5216.307548351198
