run,nedd,lowerRouterStall,fewerSwitch,random,antinedd,fewerNoCong
0.0,70.958,70.629,70.918,74.785,74.962,70.281
1.0,72.23,70.796,70.701,71.357,74.44,71.468
2.0,72.358,71.324,76.547,71.272,78.94999999999999,70.819
3.0,75.119,72.753,71.578,71.88,73.973,71.21000000000001
4.0,72.434,72.28,71.365,73.74,73.421,71.016
5.0,72.266,72.648,72.327,71.941,71.662,70.593
6.0,73.471,73.731,71.256,71.67099999999999,72.081,75.074
7.0,72.189,71.46,71.792,72.431,71.854,70.66
8.0,71.574,71.233,70.794,72.031,72.224,72.551
9.0,71.259,73.472,73.475,74.91,71.83500000000001,71.459
