index,mode,jobid,realTime1,execTime1,startUnix1,routerShare1,groupSpan1,routerSpan1,realTime2,execTime2,startUnix2,routerShare2,groupSpan2,routerSpan2,nodes
18,alloc_c32_ins5,27706659,577.852000,80.205390,1580275530,3.1,3,13,592.963000,79.976357,1580276108,65.6,4,24,759_760_761_762_808_846_847_848_932_933_934_935_936_938_955_1006_1007_1009_1023_1051_1052_1053_1060_1124_1125_1126_1127_1144_1145_1146_1238_1239_1313_1314_1315_1316_1324_1325_1326_1441_1442_1443_1444_1492_1493_1494_1495_1581_1582_1583_1637_1638_1639_1640_1665_1666_1667_1668_1684_1685_1686_1687_1688_1736_1737_1738_1739_1780_1781_1782_1783_1784_2071_2072_12681_12682_12683_12684_12685_12686_12687_12688_12689_12693_12694_12695_12696_12697_12824_12825_12826_12827_12865_12866_13054_13055
26,alloc_c32_ins5,27882581,139.935000,65.100038,1580872173,0.0,1,14,156.683000,150.162978,1580872313,50.0,6,28,751_752_753_764_765_766_784_785_787_808_848_849_857_858_859_860_864_865_873_874_875_925_945_999_1020_1022_1023_1057_1060_1069_1078_1137_1138_1139_1141_1273_1274_1300_1335_1394_1396_1430_1474_1619_1620_1767_1768_1778_1779_1827_1828_1853_1854_1864_1865_1908_1909_2174_2175_2181_12739_12740_12769_12770_12869_12870_12877_12878_12879_12880_12881_12883_12884_12887_12888_12889_12890_12910_12911_12912_12931_12932_12933_12936_12937_12973_12974_12975_12997_12998_12999_13002_13003_13029_13030_13031
16,alloc_c32_ins5,27706522,316.520000,76.232745,1580273381,3.1,3,17,600.089000,76.934431,1580273698,65.6,4,25,692_712_759_760_761_762_808_846_847_848_932_933_934_935_1006_1007_1008_1009_1051_1052_1053_1124_1125_1126_1127_1144_1145_1146_1236_1237_1238_1239_1313_1314_1315_1316_1324_1325_1326_1492_1493_1494_1495_1581_1583_1632_1637_1638_1639_1640_1656_1665_1666_1667_1668_1675_1678_1695_1699_1717_1719_1736_1737_1738_1739_1776_1780_1781_1782_1783_1784_1804_1828_1907_1940_1942_1948_1981_2005_2007_2017_2019_12681_12682_12683_12684_12685_12686_12687_12688_12689_12693_12694_12695_12696_12697
10,alloc_c32_ins5,27705371,669.496000,81.641731,1580263123,3.1,2,14,614.498000,98.304462,1580263793,81.2,5,21,717_718_826_827_828_829_830_831_991_992_993_994_995_1077_1078_1079_1080_1081_1082_1083_1392_1393_1394_1395_1396_1519_1520_1521_1522_1523_1593_1594_1595_1596_1597_1598_1856_1857_1858_1859_1864_1882_1883_1884_1885_1886_1973_1974_1975_1976_1977_1978_1979_2079_2080_2081_2082_2083_2084_2096_2097_2098_2099_2100_2101_2102_12683_12684_12685_12686_12687_12688_12689_12733_12734_12735_12736_12737_12831_12832_12833_12834_12835_12915_12916_12917_12918_12919_12920_12970_12971_12972_12973_12974_12975_12976
9,alloc_c32_ins5,27704968,558.188000,77.253556,1580261726,0.0,3,15,311.829000,84.372903,1580262284,40.6,4,32,728_729_788_918_927_930_978_1038_1042_1062_1063_1070_1074_1083_1089_1105_1108_1113_1116_1118_1122_1176_1178_1186_1215_1229_1230_1233_1234_1242_1246_1251_1252_1263_1265_1267_1271_1282_1288_1300_1301_1347_1353_1364_1380_1381_1405_1406_1429_1467_1468_1502_1515_1516_1555_1569_1570_1571_1587_1588_1712_1713_1773_1774_1842_1843_1912_1913_1973_1974_1976_1977_1978_1979_2022_2023_2101_2102_2191_2192_2193_2194_2220_2221_12683_12684_12685_12686_12687_12688_12733_12734_12735_12736_12770_12771
7,alloc_c32_ins5,27704888,557.215000,65.826595,1580260214,0.0,2,13,341.669000,107.190556,1580260771,75.0,4,24,703_705_706_707_713_714_715_739_826_827_828_829_830_831_1128_1129_1130_1194_1195_1196_1392_1393_1394_1395_1396_1446_1447_1448_1449_1634_1635_1636_1669_1670_1671_1672_1722_1723_1724_1725_1744_1745_1746_1807_1808_1809_1819_1820_1821_1822_1856_1857_1858_1859_1864_1866_1867_1873_1874_1882_1883_1884_1885_1886_1975_1976_1977_1978_1979_2051_2053_2054_2055_2105_2106_2107_2191_2192_2193_2194_12683_12684_12685_12686_12687_12688_12689_12733_12734_12735_12736_12737_13012_13013_13014_13015
15,alloc_c32_ins5,27706462,396.351000,74.800520,1580272431,3.1,3,19,299.727000,78.955744,1580272827,68.8,4,23,712_759_760_761_762_808_846_847_848_932_933_934_935_1006_1007_1008_1009_1124_1125_1126_1127_1144_1145_1146_1236_1237_1238_1239_1313_1314_1315_1316_1324_1325_1326_1492_1493_1494_1495_1581_1583_1632_1637_1638_1639_1640_1656_1665_1666_1667_1668_1675_1678_1695_1699_1717_1719_1736_1737_1738_1739_1776_1780_1781_1782_1783_1784_1804_1828_1907_1940_1942_1948_1981_2005_2007_2017_2019_2049_2057_2090_2093_12681_12682_12683_12684_12685_12686_12687_12688_12689_12693_12694_12695_12696_12697
12,alloc_c32_ins5,27705667,608.785000,79.783706,1580266786,3.1,2,14,308.577000,84.591678,1580267394,81.2,5,21,698_826_827_828_829_830_831_990_991_992_993_994_995_1077_1078_1079_1080_1081_1082_1083_1392_1393_1394_1395_1396_1519_1520_1521_1522_1523_1593_1594_1595_1596_1597_1598_1856_1857_1858_1859_1864_1882_1883_1884_1885_1886_1973_1974_1975_1976_1977_1978_1979_2079_2080_2081_2082_2083_2084_2096_2097_2098_2099_2100_2101_2102_12683_12684_12685_12686_12687_12688_12689_12733_12734_12735_12736_12737_12831_12832_12833_12834_12835_12915_12916_12917_12918_12919_12920_12970_12971_12972_12973_12974_12975_12976
6,alloc_c32_ins5,27704847,654.837000,66.132787,1580259223,0.0,2,15,320.458000,90.867307,1580259878,75.0,4,24,703_705_706_707_713_714_715_739_826_827_828_829_830_831_1128_1129_1130_1194_1195_1196_1392_1393_1394_1395_1396_1446_1447_1448_1449_1634_1635_1636_1669_1670_1671_1672_1722_1723_1724_1725_1744_1745_1746_1807_1808_1809_1819_1820_1821_1822_1856_1857_1858_1859_1864_1866_1867_1873_1874_1882_1883_1884_1885_1886_2051_2053_2054_2055_2105_2106_2107_2114_2115_2120_2191_2192_2193_2194_2238_2239_2240_12683_12684_12685_12686_12687_12688_12689_12733_12734_12735_12736_12737_12909_12910_12911
17,alloc_c32_ins5,27706578,584.844000,77.772262,1580274314,0.0,2,13,599.469000,77.416434,1580274899,62.5,4,27,692_712_759_760_761_762_808_846_847_848_932_933_934_935_936_938_1006_1007_1008_1009_1051_1052_1053_1065_1098_1124_1125_1126_1127_1144_1145_1146_1177_1236_1237_1238_1239_1270_1303_1313_1314_1315_1316_1324_1325_1326_1441_1442_1443_1444_1492_1493_1494_1495_1547_1581_1582_1583_1632_1637_1638_1639_1640_1656_1665_1666_1667_1668_1675_1678_1736_1737_1738_1739_1780_1781_1782_1783_1784_12681_12682_12683_12684_12685_12686_12687_12688_12689_12693_12694_12695_12696_12697_12825_12826_12827
25,alloc_c32_ins5,27882580,110.699000,103.700149,1580871910,3.1,2,18,129.265000,126.867042,1580872021,50.0,4,31,698_739_758_764_765_766_795_808_809_848_849_864_865_873_874_875_925_945_998_999_1000_1020_1021_1022_1023_1069_1070_1137_1138_1139_1140_1141_1242_1300_1335_1394_1396_1430_1474_1492_1532_1534_1546_1578_1585_1589_1609_1619_1620_1623_1625_1642_1669_1722_1767_1768_1778_1779_1827_1828_1853_1854_1864_1865_1866_1898_12682_12692_12704_12739_12740_12741_12869_12870_12871_12883_12884_12910_12911_12912_12931_12932_12933_12973_12974_12975_12997_12998_12999_13000_13001_13002_13003_13029_13030_13031
1,alloc_c32_ins5,27703751,252.120000,83.505577,1580251038,3.1,2,19,235.378000,91.102739,1580251291,46.9,5,30,703_705_706_707_714_715_717_718_763_805_806_876_894_920_921_951_1040_1064_1115_1119_1129_1130_1225_1229_1230_1233_1234_1251_1252_1255_1346_1360_1393_1394_1395_1396_1468_1503_1514_1549_1574_1588_1634_1636_1669_1689_1695_1713_1744_1745_1746_1804_1819_1820_1821_1866_1867_1873_1874_1912_1942_1975_1976_1977_1978_1979_2019_2051_2053_2054_2055_2114_2115_2120_2192_2193_2194_2221_2285_12689_12742_12752_12841_12870_12871_12874_12909_12910_12911_12927_12928_12929_13012_13013_13014_13015
8,alloc_c32_ins5,27704944,250.044000,72.713847,1580261129,3.1,3,13,333.827000,103.174561,1580261379,78.1,4,27,703_705_706_707_713_714_715_717_718_826_827_828_829_830_831_1128_1129_1130_1194_1195_1196_1392_1393_1394_1395_1396_1446_1447_1448_1449_1634_1635_1636_1669_1670_1671_1672_1722_1723_1724_1725_1744_1745_1746_1807_1808_1809_1819_1820_1821_1822_1856_1857_1858_1859_1864_1866_1867_1873_1874_1882_1883_1884_1885_1886_1973_1974_1975_1976_1977_1978_1979_2051_2053_2054_2055_2191_2192_2193_2194_12683_12684_12685_12686_12687_12688_12689_12733_12734_12735_12736_12737_13012_13013_13014_13015
