JobID|JobName|NNodes|Start|End|NodeList
25502963|miniMD|64|2019-11-02T21:54:01|2019-11-02T21:57:45|nid0[1440-1475,1489-1490,1492-1517]
25502964|miniMD|64|2019-11-03T00:01:23|2019-11-03T00:03:25|nid00[876-895,897-899,901-941]
25502965|miniMD|64|2019-11-03T04:51:43|2019-11-03T04:53:36|nid00[892-895,897-899,901-957]
25502967|miniMD|64|2019-11-03T06:28:26|2019-11-03T06:30:19|nid0[2135-2175,2181-2183,2188-2207]
25502968|miniMD|64|2019-11-03T06:54:40|2019-11-03T06:56:35|nid0[1341-1343,1345-1347,1352-1355,1360-1407,1413-1415,1420-1422]
25502969|miniMD|64|2019-11-03T18:00:57|2019-11-03T18:03:17|nid0[0751-0767,0776-0798,0809-0816,1333-1340,1644-1651]
25502970|miniMD|64|2019-11-03T18:25:39|2019-11-03T18:27:54|nid[01141-01142,02011-02019,02141-02159,12730-12741,12789-12796,12847-12853,12941-12947]
25502971|miniMD|64|2019-11-03T18:38:28|2019-11-03T18:41:55|nid0[0751-0767,0776-0798,1560-1583]
25502972|miniMD|64|2019-11-03T19:23:02|2019-11-03T19:26:05|nid[00749,01229-01231,01233-01234,01248-01252,01723-01727,01980-01983,01992,02135-02159,02226-02230,12675-12679,12789-12796]
25502973|miniMD|64|2019-11-04T05:12:01|2019-11-04T05:14:00|nid[00692-00703,00705-00707,00712-00728,01020-01023,01029-01031,01036-01049,12766-12776]
25502974|miniMD|64|2019-11-04T06:43:26|2019-11-04T06:45:33|nid[00808,01171-01174,01205-01213,01435-01439,01636-01641,01710-01717,01755-01762,01773-01776,02107-02110,12814-12817,12857-12861,12898-12903]
25502975|miniMD|64|2019-11-04T07:06:46|2019-11-04T07:09:20|nid[00799-00800,01171-01174,01631-01634,01636-01641,01703-01708,01772-01776,02106-02110,02231-02237,12701-12707,12826-12832,12857-12861,12898-12903]
25502976|miniMD|64|2019-11-04T07:22:02|2019-11-04T07:24:03|nid[01456-01475,01489-01490,01492-01501,02283-02300,13022-13035]
25502977|miniMD|64|2019-11-04T08:36:50|2019-11-04T08:39:16|nid0[0730-0748,1017-1023,1029-1031,1036-1049,1138-1139,1890-1908]
25502978|miniMD|64|2019-11-04T17:11:23|2019-11-04T17:14:28|nid[00959,00961-00963,00968-00971,00976-00984,01360-01367,02237-02243,02248-02251,02257-02258,02260-02265,12912-12931]
25502979|miniMD|64|2019-11-04T17:44:51|2019-11-04T17:49:22|nid[01547-01548,01550-01553,01669-01676,01691-01694,01817-01820,01834-01837,02033-02035,02168-02175,02181-02183,02188-02192,12680-12687,12692-12698,12751,12938-12940]
25502980|miniMD|64|2019-11-05T14:04:49|2019-11-05T14:07:35|nid[00728-00729,00738-00740,00801-00802,00808,00824,00996-00999,01023,01050,01138-01139,01397-01407,01413-01415,01420-01422,01530-01531,01685-01686,01689-01690,01721-01722,01736-01738,01789-01791,02043-02044,02046-02047,02224-02225,02267-02268,12673-12675,12677-12679,12786-12787]
25502981|miniMD|64|2019-11-06T09:39:39|2019-11-06T09:43:13|nid0[1187-1202,1282-1283,1285-1330]
