JobID|JobName|NNodes|Start|End|NodeList
27703141|withOSU|96|2020-01-28T13:05:08|2020-01-28T13:05:11|nid[00691,00730,00752,00757,00763-00765,00791,00816,00824,00851,00874,00882,00885,00889,00891,00924,00937,00950,00952,00959,00997,01000,01002,01005,01013,01022,01036,01042,01056,01072,01074,01089,01122,01129-01130,01176,01178,01186,01215,01229-01230,01233-01234,01242,01251-01252,01300-01301,01380-01381,01405-01406,01472-01473,01641-01642,01650-01651,01662-01663,01995-01996,02012-02013,02025-02026,02087-02088,02131-02132,02157-02158,02163-02164,02188-02189,02208-02209,02268-02269,12686-12688,12691-12692,12764-12765,12875-12876,12885-12886,12924-12925,12989-12990]
27703219|withOSU|96|2020-01-28T13:24:23|2020-01-28T13:54:53|nid[00703,00705-00706,00713-00715,00717-00718,00736-00738,00763-00765,00805-00806,00875-00876,00894-00895,00920-00921,01015-01016,01038-01040,01051-01053,01062-01064,01115-01116,01118-01119,01144-01146,01229-01230,01233-01234,01251-01252,01290-01292,01324-01326,01393-01396,01514-01516,01556-01558,01744-01746,01819-01821,01866-01867,01873,02051,02053-02055,02114-02115,02120,02192-02194,12683-12688,12909-12911,12927-12929,13012-13014]
27703650|withOSU|96|2020-01-28T14:13:55|2020-01-28T14:19:41|nid[00706-00707,00714-00715,00718,00728,00763,00806,00826-00831,00876,00894,00920-00921,00951,01040,01051-01053,01064,01115,01119,01129-01130,01144-01146,01225,01230,01233,01252,01255,01290,01292,01324-01325,01393-01396,01514,01549,01556-01558,01669,01689,01713,01744-01746,01819,01821,01867,01873,01883,01885-01886,01942,01975-01979,02051,02053-02055,02114-02115,02193-02194,12683-12685,12687-12688,12752,12841,12870-12871,12874,12909-12911,12927-12929,12966,13012,13014-13015]
27703751|withOSU|96|2020-01-28T14:37:08|2020-01-28T14:45:26|nid[00703,00705-00707,00714-00715,00717-00718,00763,00805-00806,00876,00894,00920-00921,00951,01040,01064,01115,01119,01129-01130,01225,01229-01230,01233-01234,01251-01252,01255,01346,01360,01393-01396,01468,01503,01514,01549,01574,01588,01634,01636,01669,01689,01695,01713,01744-01746,01804,01819-01821,01866-01867,01873-01874,01912,01942,01975-01979,02019,02051,02053-02055,02114-02115,02120,02192-02194,02221,02285,12689,12742,12752,12841,12870-12871,12874,12909-12911,12927-12929,13012-13015]
27703758|withOSU|96|2020-01-28T14:45:36|2020-01-28T15:15:09|nid[00706-00707,00714-00715,00717-00718,00725,00728,00763,00792,00805-00806,00826-00831,00862,00920-00921,01129-01130,01229-01230,01233-01234,01251-01252,01392-01396,01445-01449,01467-01468,01587-01588,01712-01713,01722-01723,01744-01746,01819-01821,01866-01867,01873-01874,01882-01886,01975-01979,02051,02053-02055,02114-02115,02120,02192-02194,12683-12689,12870-12871,12909-12911,12927-12929,13012-13015]
27703778|withOSU|96|2020-01-28T15:15:14|2020-01-28T15:34:56|nid[00703,00705-00707,00714-00715,00717-00718,00725,00728-00729,00805-00806,00826-00831,00875-00876,00920-00921,01129-01130,01229-01230,01233-01234,01251-01252,01392-01396,01445-01449,01467-01468,01587-01588,01712-01713,01722-01723,01744-01746,01819-01821,01866-01867,01873-01874,01882-01886,01975-01979,02051,02053-02055,02114-02115,02120,02192-02194,12683-12689,12909-12911,12927-12929,13012-13015]
27703788|withOSU|96|2020-01-28T15:59:56|2020-01-28T16:04:42|nid[00698,00713-00714,00805-00806,00826-00830,00894-00895,00908,00918,00927,00930,01038,01042,01070,01074,01089,01105,01108,01113,01118,01122,01128-01130,01176,01178,01186,01195,01215,01242,01246,01263,01265,01267,01282,01288,01300-01301,01347,01380-01381,01392-01393,01405-01406,01449,01515-01516,01570,01574,01581,01588,01623,01632,01635-01636,01669,01672,01675,01688,01692,01695,01699,01745,01776,01784,01882-01886,01979,02005,02023,02049,02051,02055,02057,02090,02093,02102,02191-02194,12909-12911,12927-12929]
27703811|withOSU|96|2020-01-28T16:04:51|2020-01-28T16:15:10|nid[00698,00714-00715,00805-00806,00826-00830,00894-00895,00908,00918,00927,00930,01038,01042,01070,01074,01089,01108,01113,01118,01122,01128-01130,01176,01178,01186,01195,01215,01242,01246,01263,01265,01267,01282,01288,01300-01301,01347,01353,01380-01381,01392-01396,01405-01406,01449,01502,01515-01516,01570,01574,01581,01588,01623,01632,01635-01636,01669,01672,01675,01688-01689,01692,01695,01699,01745,01774,01776,01784,01809,01819-01821,01882-01886,02191-02194,12909-12911,12927-12929]
27704847|withOSU|96|2020-01-28T16:53:33|2020-01-28T17:09:59|nid[00703,00705-00707,00713-00715,00739,00826-00831,01128-01130,01194-01196,01392-01396,01446-01449,01634-01636,01669-01672,01722-01725,01744-01746,01807-01809,01819-01822,01856-01859,01864,01866-01867,01873-01874,01882-01886,02051,02053-02055,02105-02107,02114-02115,02120,02191-02194,02238-02240,12683-12689,12733-12737,12909-12911]
27704888|withOSU|96|2020-01-28T17:10:03|2020-01-28T17:25:13|nid[00703,00705-00707,00713-00715,00739,00826-00831,01128-01130,01194-01196,01392-01396,01446-01449,01634-01636,01669-01672,01722-01725,01744-01746,01807-01809,01819-01822,01856-01859,01864,01866-01867,01873-01874,01882-01886,01975-01979,02051,02053-02055,02105-02107,02191-02194,12683-12689,12733-12737,13012-13015]
