run,green,yellow,greenGPC,yellowGPC
0,100.44127999999999,94.28511999999999,109.984064,115.14387199999999
1,102.321984,102.57728,107.72576000000001,120.417728
2,109.156416,117.189696,197.639488,125.26035200000001
3,131.70463999999998,122.091008,140.356736,129.168768
4,127.935424,124.643328,128.77792,129.404992
5,143.882816,131.356288,144.87808,133.881024
6,99.273664,127.759488,136.260352,123.49152000000001
7,122.54918400000001,124.599872,117.438528,174.03072
8,125.273856,134.89088,127.087552,119.709504
9,121.590528,115.396864,124.250112,136.779968
